name,unique.name,xpath,VXa.state,SES.state,RISK.state,HIV.state,age.group,dist,mean,shape,min,max,choose
acqres,acqres,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.012,,0.003,0.012,TRUE
clinsub,clinsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.72,,0.46,0.72,TRUE
comp_rt,comp_rt,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1.494633,,1.3,2,TRUE
cscal,cscal,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,2.2,,0,4,TRUE
dx_age,dx_ageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.35,,0.25,1,TRUE
eta,eta,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.73,,0,1.5,TRUE
g,g,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,3.428219092,,2.14,4.27,TRUE
infclr,infclr,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1.315599835,,0.93,3.3,TRUE
infnon,infnon,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.0968,,0.04,0.23,TRUE
infsub,infsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.01,,0.01,0.1,TRUE
k,kA0,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,A0,uniform,0.424,,0.25,1,TRUE
muDc,muDc,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.0859,,0.017,0.45,TRUE
muDn,muDn,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.01,,0,0.45,TRUE
nonrec,nonrec,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.152024,,0.14,0.23,TRUE
nonsub,nonsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.21,,0.21,0.28,TRUE
p,p,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,0.299953032,,0.14,0.3,TRUE
mort_nut,mort_nutmoderate,//TB/TB.progression/TB.parameter,NA,NA,moderate,NA,NA,uniform,2.245249769,,1.84,6.48,TRUE
prog_nut,prog_nutmild,//TB/TB.progression/TB.parameter,NA,NA,mild,NA,NA,uniform,1.47,,1.12,1.47,TRUE
prog_nut,prog_nutmoderate,//TB/TB.progression/TB.parameter,NA,NA,moderate,NA,NA,uniform,1.84,,1.25,1.84,TRUE
prog_nut,prog_nutover,//TB/TB.progression/TB.parameter,NA,NA,over,NA,NA,uniform,0.66,,0.23,0.66,TRUE
unsucc_nut,unsucc_nutmoderate,//TB/TB.progression/TB.parameter,NA,NA,moderate,NA,NA,uniform,1.101,,1.09,2.31,TRUE
prog_age,prog_ageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.9,,0.5,1,TRUE
relfit,relfit,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,uniform,0.848,,0.4,0.9,TRUE
relnon_r,relnon_r,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.042272512,,0.01,0.06,TRUE
relnon_s,relnon_s,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.000508378,,0,0.01,TRUE
relsub_r,relsub_r,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.028816216,,0.01,0.06,TRUE
relsub_s,relsub_s,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.006388308,,0,0.01,TRUE
subclin,subclin,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.94,,0.56,0.94,TRUE
subnon,subnon,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,2,,1.24,2.03,TRUE
succ_strs,succ_strs,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.46,,0.35,0.7,TRUE
t,t,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,uniform,0.865810325,,0.62,1,TRUE
