name,unique.name,xpath,VXa.state,SES.state,RISK.state,HIV.state,age.group,dist,mean,shape,min,max,choose
relfit,relfit,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,uniform,0.32,NA,0.15,0.9,TRUE
k,kA0,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,A0,uniform,0.625,NA,0.25,1,TRUE
t,t,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,uniform,0.81,NA,0.62,1,TRUE
p,p,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,0.22,NA,0.14,0.3,TRUE
g,g,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,3.205,NA,2.14,4.27,TRUE
infclr,infclr,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,2.115,NA,0.93,3.3,TRUE
infnon,infnon,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.135,NA,0.04,0.23,TRUE
infsub,infsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.055,NA,0.01,0.1,TRUE
nonrec,nonrec,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.185,NA,0.14,0.23,TRUE
nonsub,nonsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.245,NA,0.21,0.28,TRUE
subnon,subnon,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1.635,NA,1.24,2.03,TRUE
subclin,subclin,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.75,NA,0.56,0.94,TRUE
clinsub,clinsub,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.59,NA,0.46,0.72,TRUE
muDn,muDn,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.225,NA,0,0.45,TRUE
muDc,muDc,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.39,NA,0.33,0.45,TRUE
eta,eta,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,1,TRUE
comp_rt,comp_rt,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1.65,NA,1.3,2,TRUE
succ_strs,succ_strs,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.525,NA,0.35,0.7,TRUE
relnon_s,relnon_s,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.005,NA,0,0.01,TRUE
relsub_s,relsub_s,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.005,NA,0,0.01,TRUE
relnon_r,relnon_r,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.07,NA,0.02,0.12,TRUE
relsub_r,relsub_r,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.07,NA,0.02,0.12,TRUE
acqres,acqres,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.0075,NA,0.003,0.012,TRUE
prog_age,prog_ageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.75,NA,0.5,1,TRUE
dx_age,dx_ageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.75,NA,0.5,1,TRUE
