iso,uid,c_a_vax,c_a_HHCM,c_a_TPT_DS,c_a_TPT_DR,c_a_screen_CXR_hi,c_a_screen_CXR_lo,c_a_screen_Xpert,c_a_diag_standard,c_a_diag_improved,c_a_DST,c_a_treat_DS_standard,c_a_treat_DS_improved,c_a_treat_DR_standard,c_a_treat_DR_improved,c_a_prison,c_a_nutrition_index,c_a_nutrition_contact
BRA,23415027c0dc715516fcdcbc1b6ee1b1,16.4491534763424,23.8431855046601,20.3224882337416,43.2296514710282,15.8197012222986,4.43158744513397,23.5350277434569,15.9868277285229,33.5723321430063,18.3192349889358,172.182360232754,169.494037552111,3642.3085523988,489.833006473531,17.9855585638149,,
BRA,3409a373e94ef4ba8add911e827a5bd0,13.3265690375963,31.8993625949511,25.2320767752028,62.3703330688747,48.3315502924923,3.86853574845883,15.0172257168476,14.3325637880303,21.920118132319,20.350890375635,118.834479108836,229.353431624992,2861.96253370232,294.841854106252,20.5729580119925,,
BRA,dbb41fe1c10e725db5d90bcf9bb33e66,9.6876490761265,22.5578621212902,17.718375466054,27.8303446558961,33.2280575372098,3.70244051087947,17.2345530389608,19.4659734845004,25.622227877609,27.7176375414693,99.0165079942197,243.973942849799,3691.51168206156,489.567008400462,14.863246979494,,
BRA,f4a1b64c6c716bb07610016c7dfd746e,11.616241025297,27.6990283115738,27.5517164671752,71.6131095320863,47.3790270723213,5.27293965336014,28.4803727430944,12.7918323143678,29.1655566022701,17.2734368947786,97.0974832763363,161.574407788012,4434.4995879803,315.804623727355,20.6596667130142,,
BRA,fff232d78b10b34d86c4361d53cd9d1d,10.1646043913144,24.9194055381057,26.0093379712364,51.8511625806059,48.763500892597,6.98116094616478,23.6336746981022,15.260158310195,25.0411200571679,15.3953715335284,130.135367536174,149.674947947756,3133.83852985773,328.672028438225,35.2818920886849,,
IND,1996414673b7ded95a5386045320ae41,10.8387584312724,25.7563641593366,39.2966212381836,57.2980400086926,56.2869214712337,2.12980190503265,29.7214875568896,17.5470427737394,20.1033717747878,20.5392254149501,82.8231503773367,134.533522924302,557.478127355319,344.06675773277,,14.6511128246588,6.492673867812
IND,484bed990ec3b42781e24316e64ac1fd,12.1882925240335,28.7584792447095,31.6219913060327,51.0822360389793,35.6781442459391,2.29995605856072,19.9566716793102,14.8856636659083,25.9318895422437,28.9056006415787,75.2469895756502,244.593998100949,512.298126537009,651.538370043989,,24.1356990789862,7.24015087910303
IND,4c2e30590081144a9b55dc401b53dd5e,10.1763216908813,23.2947399326884,43.3803699301845,68.6049409594174,52.021182173812,2.94183553049735,25.6004732903533,9.71624781840304,34.6884036500532,31.6518266565502,124.36768243248,222.59398929997,639.460257343367,326.561894857164,,18.662639933145,5.94745775352646
IND,aa7bc7c49860abcfffb0d72637969644,11.5006981430673,17.7264718572832,23.8030296861072,71.5247873436694,29.6163429972205,3.68670394270129,30.2882573486278,14.2045151433421,24.4259187613855,20.9151490472514,139.63018758215,156.809275213758,533.389727834514,390.961742607326,,30.9216007408982,6.91148214128703
IND,f8a19ab5d06a5973055778bafad385e5,8.21921068606386,35.6760555903132,42.6785712033079,84.3421392798711,27.6485464666765,1.26353998285205,24.8910545086427,23.5006581115029,26.9264998612023,27.4387317124315,142.402508931682,143.704859996846,317.61635713366,493.146047727235,,15.5319793219489,8.58122825320464
ZAF,18980873774fde15e423d3f329d78b4f,8.04973672453879,35.009212124245,76.4575392873646,155.702712492556,46.3548357038611,5.2821934678243,14.1418935016463,29.1922661642948,34.6903269108412,12.7660041764047,164.510093535087,200.925734748944,776.266815138169,427.94854372821,,,
ZAF,1dd51436042bbe964a817b9d89a46f98,7.03853486677036,46.2651378875804,91.0733589933208,110.996496654197,29.7892540572046,5.55232665865896,14.2530524283766,26.80793352726,40.6393412084065,19.9573627601028,222.677066889477,231.839004494184,591.742797450272,553.711372840317,,,
ZAF,4679f66b8857fb88b5ab6b42de143078,12.1068711904212,31.9956236095273,117.54173733178,123.044322693985,25.0600231365721,7.14443402512673,16.5377921486571,37.7474457750259,31.5608925832515,17.7314105577005,221.92763718228,275.781721687301,572.209998900561,409.490557269199,,,
ZAF,e8b9e3ad8a4de9f201d5733374bcc249,14.6870042540097,23.8921486845918,133.923122763315,159.412783535949,28.1555035630211,6.33197500929656,11.3968989801891,33.4276474508633,27.1421094478265,19.6866251351252,235.136136575601,235.191811244019,560.051288201913,590.080121412513,,,
ZAF,fa0ea15b38aac2e64883c6966559a71a,15.856772898824,42.2009860318368,68.4011567600735,144.163601716387,42.0641219793994,5.12867600628831,15.9386645135841,34.1148268254375,27.7533207541119,23.728180901823,205.15649239009,366.093117043909,638.664607420901,364.581756709812,,,
