"nhits","uid","acqres","clinsub","comp_rt","cscal","dx_ageA0","eta","g","infclr","infnon","infsub","kA0","mort_nutmoderate","muDc","muDn","nonrec","nonsub","p","prog_ageA0","prog_nutmild","prog_nutmoderate","prog_nutover","relfit","relnon_r","relnon_s","relsub_r","relsub_s","subclin","subnon","succ_strs","t","unsucc_nutmoderate"
18,"11e2bab712291fcc4918fbafb2da66b7",0.011965232,0.718435895,1.487016737,2.270724813,0.363254263,0.758070117,3.456923443,1.296852134,0.093082821,0.010156498,0.406399586,2.36639043,0.085195375,0.005852935,0.149207379,0.212392076,0.296017066,0.898762986,1.465262367,1.830278624,0.654562321,0.849620523,0.044886032,0.002017302,0.029445252,0.0054221,0.93585843,2.018350263,0.456781358,0.859178651,1.123564071
18,"4c4568fcabae92ddf8e39d7f34e9f50f",0.011988658,0.718201671,1.512578217,2.218386906,0.359435396,0.75965485,3.468051956,1.338513597,0.096653409,0.013499623,0.433081199,2.239908812,0.087651197,0.004638037,0.156492249,0.210830613,0.298632708,0.886888686,1.466895487,1.837646681,0.655872582,0.853190441,0.040070688,0.000628143,0.029493696,0.006554146,0.933762016,1.990626522,0.456935857,0.860073566,1.100067963
18,"dcb55db3f1593175171ce05cf6131193",0.009615631,0.716758825,1.480597609,2.131833809,0.357082503,0.764105007,3.472166461,1.249356626,0.089539339,0.014120286,0.43645715,2.225584649,0.092268341,0.004602571,0.147227442,0.215778179,0.293779739,0.891309254,1.457757591,1.828855058,0.636787593,0.849657629,0.042932198,0.000958079,0.029734761,0.008289375,0.933890374,2.020611913,0.455863051,0.849772266,1.139514293
18,"ce00272b732944fc2722a5e9f9568c2a",0.01054676,0.718927176,1.481505356,2.121662697,0.358204404,0.773157274,3.483849985,1.228072964,0.097048921,0.011076279,0.438025223,2.222342583,0.086851357,0.002898992,0.153616707,0.212251992,0.295641906,0.892788363,1.454000037,1.823458903,0.647638634,0.847505352,0.039858713,0.002206245,0.030077187,0.008776981,0.930590839,2.024475875,0.45764839,0.859434453,1.14650297
18,"c2845d4cb4c2da8e75b751cc7a902a11",0.011906155,0.71856901,1.484651692,2.291408665,0.367017714,0.766738965,3.464731279,1.290972602,0.091277366,0.011096406,0.402843405,2.401994128,0.085457428,0.005269658,0.149247603,0.212147819,0.295772872,0.898749107,1.462247578,1.826580449,0.653796192,0.849976693,0.043999555,0.00142101,0.02942915,0.005958205,0.93482364,2.021770055,0.455429829,0.858391542,1.13056143
18,"c52df4954137c36f81f88741632bb809",0.01142115,0.707910756,1.500911656,1.976909671,0.351150952,0.789825324,3.398616984,1.143355201,0.097774556,0.010239061,0.457709626,2.026144644,0.091855584,0.002745363,0.150075052,0.211358138,0.298912679,0.883848939,1.468541731,1.824395358,0.649304986,0.842115963,0.045031773,8.57e-05,0.026094354,0.005426164,0.938209516,2.005003152,0.4511085,0.863179261,1.117896817
18,"3faf6c00e193087438e0d4c86b517e0c",0.01103446,0.716266022,1.490733464,2.239148076,0.356128999,0.741328738,3.445875766,1.301911317,0.093299811,0.011025926,0.412971262,2.313183351,0.085797166,0.007069218,0.151724688,0.21243145,0.295096421,0.897945392,1.467095323,1.834408879,0.657349058,0.849014177,0.047787649,0.006089526,0.028500042,0.006759956,0.936574435,2.014607033,0.460502571,0.856790457,1.109705559
18,"1ca9649bcedd9c7c6b12eca91192674d",0.010441284,0.716940014,1.477727949,2.122039841,0.354315075,0.768332568,3.48554468,1.231760719,0.091128965,0.013200066,0.440523639,2.224375502,0.083974983,0.007269693,0.14995737,0.212499693,0.298509084,0.891374356,1.458030213,1.822445699,0.650129694,0.84626087,0.043390181,0.001692103,0.029253711,0.007450144,0.930319128,2.021530149,0.451979339,0.858673081,1.14427467
18,"fe5920038d45b39a8747fd1d4bf25016",0.011819617,0.711526535,1.499884422,2.478874569,0.387584631,0.7890838,3.493732034,1.491921198,0.095413296,0.018814124,0.428798284,2.350309265,0.086323074,0.006447733,0.163778526,0.211825482,0.289178342,0.853048418,1.453613222,1.816099736,0.658319245,0.856729533,0.041957242,0.000747011,0.03187105,0.006459665,0.921081135,1.963855922,0.439286225,0.848764349,1.095263843
18,"5ad65a3c963c0d98f0820446b4a64989",0.01151293,0.715402357,1.479901771,2.122053682,0.353116959,0.768897002,3.489503186,1.224404623,0.086980368,0.013849644,0.441529074,2.22553598,0.083705517,0.008117035,0.147497561,0.215749257,0.298228465,0.890447742,1.460152761,1.823684262,0.645368398,0.845421297,0.044787376,0.001891436,0.028543504,0.009281104,0.93149689,2.022490735,0.448657102,0.856774415,1.148508808
